1,4-alpha-glucan branching enzyme 1	GBE1	GLGB_HUMAN
component of oligomeric golgi complex 3	COG3	COG3_HUMAN
component of oligomeric golgi complex 4	COG4	A0A0A0MS45_HUMAN
component of oligomeric golgi complex 4	COG4	COG4_HUMAN
component of oligomeric golgi complex 4	COG4	COG4_HUMAN
component of oligomeric golgi complex 4	COG4	COG4_HUMAN
component of oligomeric golgi complex 4	COG4	J3KNI1_HUMAN
component of oligomeric golgi complex 4	COG4	Q8N8L9_HUMAN
component of oligomeric golgi complex 5	COG5	COG5_HUMAN
component of oligomeric golgi complex 5	COG5	COG5_HUMAN
component of oligomeric golgi complex 5	COG5	COG5_HUMAN
component of oligomeric golgi complex 6	COG6	A0A024RDW5_HUMAN
component of oligomeric golgi complex 6	COG6	A0A140VJG7_HUMAN
component of oligomeric golgi complex 7	COG7	COG7_HUMAN
component of oligomeric golgi complex 8	COG8	COG8_HUMAN
cone-rod homeobox	CRX	CRX_HUMAN
connector enhancer of kinase suppressor of Ras 1	CNKSR1	B4DL25_HUMAN
connector enhancer of kinase suppressor of Ras 1	CNKSR1	CNKR1_HUMAN
connector enhancer of kinase suppressor of Ras 1	CNKSR1	CNKR1_HUMAN
connector enhancer of kinase suppressor of Ras 1	CNKSR1	G3V160_HUMAN
connector enhancer of kinase suppressor of Ras 2	CNKSR2	A0A2R8Y622_HUMAN
connector enhancer of kinase suppressor of Ras 2	CNKSR2	A0A2R8Y700_HUMAN
connector enhancer of kinase suppressor of Ras 2	CNKSR2	A0A2R8Y7A1_HUMAN
connector enhancer of kinase suppressor of Ras 2	CNKSR2	A0A2U3TZH5_HUMAN
connector enhancer of kinase suppressor of Ras 2	CNKSR2	B3KPN2_HUMAN
connector enhancer of kinase suppressor of Ras 2	CNKSR2	CNKR2_HUMAN
connector enhancer of kinase suppressor of Ras 2	CNKSR2	CNKR2_HUMAN
connector enhancer of kinase suppressor of Ras 2	CNKSR2	CNKR2_HUMAN
connector enhancer of kinase suppressor of Ras 2	CNKSR2	CNKR2_HUMAN
consortin, connexin sorting protein	CNST	CNST_HUMAN
consortin, connexin sorting protein	CNST	CNST_HUMAN
consortin, connexin sorting protein	CNST	CNST_HUMAN
contactin 1	CNTN1	CNTN1_HUMAN
contactin 1	CNTN1	CNTN1_HUMAN
contactin 1	CNTN1	CNTN1_HUMAN
contactin 2	CNTN2	A1L3A3_HUMAN
contactin 2	CNTN2	CNTN2_HUMAN
contactin 3	CNTN3	CNTN3_HUMAN
contactin 4	CNTN4	CNTN4_HUMAN
contactin 4	CNTN4	CNTN4_HUMAN
contactin 4	CNTN4	CNTN4_HUMAN
contactin 4	CNTN4	CNTN4_HUMAN
contactin 5	CNTN5	CNTN5_HUMAN
contactin 5	CNTN5	CNTN5_HUMAN
contactin 5	CNTN5	CNTN5_HUMAN
contactin 6	CNTN6	B4DGV0_HUMAN
contactin 6	CNTN6	CNTN6_HUMAN
contactin associated protein 1	CNTNAP1	CNTP1_HUMAN
contactin associated protein 2	CNTNAP2	B2RCH4_HUMAN
contactin associated protein 2	CNTNAP2	CNTP2_HUMAN
contactin associated protein 2	CNTNAP2	CNTP2_HUMAN
contactin associated protein family member 3	CNTNAP3	CNTP3_HUMAN
contactin associated protein family member 3	CNTNAP3	CNTP3_HUMAN
contactin associated protein family member 3B	CNTNAP3B	CNT3B_HUMAN
contactin associated protein family member 3B	CNTNAP3B	CNT3B_HUMAN
contactin associated protein family member 4	CNTNAP4	A0A087WTA1_HUMAN
contactin associated protein family member 4	CNTNAP4	CNTP4_HUMAN
contactin associated protein family member 4	CNTNAP4	CNTP4_HUMAN
contactin associated protein family member 4	CNTNAP4	Q86YZ8_HUMAN
contactin associated protein family member 5	CNTNAP5	CNTP5_HUMAN
coordinator of PRMT5 and differentiation stimulator	COPRS	COPRS_HUMAN
coordinator of PRMT5 and differentiation stimulator	COPRS	H9KV77_HUMAN
copine 1	CPNE1	B0QZ18_HUMAN
copine 1	CPNE1	CPNE1_HUMAN
copine 2	CPNE2	CPNE2_HUMAN
copine 2	CPNE2	CPNE2_HUMAN
copine 3	CPNE3	CPNE3_HUMAN
copine 4	CPNE4	B7Z370_HUMAN
copine 4	CPNE4	CPNE4_HUMAN
copine 4	CPNE4	CPNE4_HUMAN
copine 4	CPNE4	Q4G168_HUMAN
copine 5	CPNE5	CPNE5_HUMAN
copine 5	CPNE5	CPNE5_HUMAN
copine 6	CPNE6	B3KWK1_HUMAN
copine 6	CPNE6	CPNE6_HUMAN
copine 6	CPNE6	CPNE6_HUMAN
copine 7	CPNE7	CPNE7_HUMAN
copine 7	CPNE7	CPNE7_HUMAN
copine 8	CPNE8	CPNE8_HUMAN
copine 8	CPNE8	CPNE8_HUMAN
copine family member 9	CPNE9	CPNE9_HUMAN
copine family member 9	CPNE9	CPNE9_HUMAN
copper chaperone for superoxide dismutase	CCS	CCS_HUMAN
copper metabolism domain containing 1	COMMD1	COMD1_HUMAN
copper metabolism domain containing 1	COMMD1	COMD1_HUMAN
coproporphyrinogen oxidase	CPOX	HEM6_HUMAN
coproporphyrinogen oxidase	CPOX	HEM6_HUMAN
cordon-bleu WH2 repeat protein	COBL	COBL_HUMAN
cordon-bleu WH2 repeat protein	COBL	COBL_HUMAN
cordon-bleu WH2 repeat protein	COBL	COBL_HUMAN
cordon-bleu WH2 repeat protein	COBL	COBL_HUMAN
cordon-bleu WH2 repeat protein	COBL	COBL_HUMAN
cordon-bleu WH2 repeat protein	COBL	COBL_HUMAN
cordon-bleu WH2 repeat protein	COBL	COBL_HUMAN
cordon-bleu WH2 repeat protein like 1	COBLL1	A0A0D9SG04_HUMAN
cordon-bleu WH2 repeat protein like 1	COBLL1	A0A0X1KG75_HUMAN
cordon-bleu WH2 repeat protein like 1	COBLL1	B7Z2P5_HUMAN
cordon-bleu WH2 repeat protein like 1	COBLL1	COBL1_HUMAN
cordon-bleu WH2 repeat protein like 1	COBLL1	COBL1_HUMAN
cordon-bleu WH2 repeat protein like 1	COBLL1	COBL1_HUMAN
core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	C1GALT1	C1GLT_HUMAN
core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	C1GALT1	C1GLT_HUMAN
core-binding factor subunit beta	CBFB	PEBB_HUMAN
core-binding factor subunit beta	CBFB	PEBB_HUMAN
corepressor interacting with RBPJ, CIR1	CIR1	CIR1_HUMAN
corepressor interacting with RBPJ, CIR1	CIR1	CIR1_HUMAN
corin, serine peptidase	CORIN	A0A087X1D5_HUMAN
corin, serine peptidase	CORIN	B4E1Y7_HUMAN
corin, serine peptidase	CORIN	B4E2W9_HUMAN
corin, serine peptidase	CORIN	CORIN_HUMAN
corin, serine peptidase	CORIN	CORIN_HUMAN
corin, serine peptidase	CORIN	J3KR83_HUMAN
corneodesmosin	CDSN	CDSN_HUMAN
corneodesmosin	CDSN	G8JLG2_HUMAN
cornichon family AMPA receptor auxiliary protein 1	CNIH1	CNIH1_HUMAN
cornichon family AMPA receptor auxiliary protein 2	CNIH2	CNIH2_HUMAN
cornichon family AMPA receptor auxiliary protein 3	CNIH3	CNIH3_HUMAN
cornichon family AMPA receptor auxiliary protein 4	CNIH4	A6NLH6_HUMAN
cornichon family AMPA receptor auxiliary protein 4	CNIH4	CNIH4_HUMAN
cornichon family AMPA receptor auxiliary protein 4	CNIH4	CNIH4_HUMAN
cornifelin	CNFN	CNFN_HUMAN
cornulin	CRNN	CRNN_HUMAN
coronin 1A	CORO1A	COR1A_HUMAN
coronin 1B	CORO1B	COR1B_HUMAN
coronin 1C	CORO1C	COR1C_HUMAN
coronin 1C	CORO1C	COR1C_HUMAN
coronin 1C	CORO1C	COR1C_HUMAN
coronin 2A	CORO2A	A8K9S3_HUMAN
coronin 2A	CORO2A	COR2A_HUMAN
coronin 2B	CORO2B	COR2B_HUMAN
coronin 2B	CORO2B	COR2B_HUMAN
coronin 6	CORO6	B3KRY9_HUMAN
coronin 6	CORO6	B3KSZ9_HUMAN
coronin 6	CORO6	CORO6_HUMAN
coronin 6	CORO6	CORO6_HUMAN
coronin 6	CORO6	CORO6_HUMAN
coronin 6	CORO6	CORO6_HUMAN
coronin 6	CORO6	CORO6_HUMAN
coronin 7	CORO7	CORO7_HUMAN
coronin 7	CORO7	CORO7_HUMAN
coronin 7	CORO7	CORO7_HUMAN
coronin 7	CORO7	CORO7_HUMAN
cortactin	CTTN	A0A024R5M3_HUMAN
cortactin	CTTN	SRC8_HUMAN
cortactin	CTTN	SRC8_HUMAN
cortactin	CTTN	SRC8_HUMAN
cortactin binding protein 2	CTTNBP2	CTTB2_HUMAN
cortexin 1	CTXN1	CTXN1_HUMAN
cortexin 2	CTXN2	CTXN2_HUMAN
cortexin 3	CTXN3	CTXN3_HUMAN
corticotropin releasing hormone	CRH	CRF_HUMAN
corticotropin releasing hormone binding protein	CRHBP	CRHBP_HUMAN
corticotropin releasing hormone receptor 1	CRHR1	A0A024R9X9_HUMAN
corticotropin releasing hormone receptor 1	CRHR1	B3SXS2_HUMAN
corticotropin releasing hormone receptor 1	CRHR1	B3TIK8_HUMAN
corticotropin releasing hormone receptor 1	CRHR1	CRFR1_HUMAN
corticotropin releasing hormone receptor 1	CRHR1	CRFR1_HUMAN
corticotropin releasing hormone receptor 1	CRHR1	CRFR1_HUMAN
corticotropin releasing hormone receptor 1	CRHR1	CRFR1_HUMAN
corticotropin releasing hormone receptor 1	CRHR1	CRFR1_HUMAN
corticotropin releasing hormone receptor 1	CRHR1	G3CIS4_HUMAN
corticotropin releasing hormone receptor 1	CRHR1	K9J956_HUMAN
corticotropin releasing hormone receptor 2	CRHR2	CRFR2_HUMAN
corticotropin releasing hormone receptor 2	CRHR2	CRFR2_HUMAN
corticotropin releasing hormone receptor 2	CRHR2	CRFR2_HUMAN
corticotropin releasing hormone receptor 2	CRHR2	CRFR2_HUMAN
corticotropin releasing hormone receptor 2	CRHR2	CRFR2_HUMAN
corticotropin releasing hormone receptor 2	CRHR2	CRFR2_HUMAN
corticotropin releasing hormone receptor 2	CRHR2	CRFR2_HUMAN
cortistatin	CORT	CORT_HUMAN
cramped chromatin regulator homolog 1	CRAMP1	A7MD53_HUMAN
cramped chromatin regulator homolog 1	CRAMP1	B2RNX8_HUMAN
cramped chromatin regulator homolog 1	CRAMP1	CRML_HUMAN
craniofacial development protein 1	CFDP1	A0A0H5APX3_HUMAN
craniofacial development protein 1	CFDP1	A0A0H5AUJ9_HUMAN
craniofacial development protein 1	CFDP1	CFDP1_HUMAN
craniofacial development protein 1	CFDP1	CFDP1_HUMAN
creatine kinase B	CKB	KCRB_HUMAN
creatine kinase, M-type	CKM	B2R892_HUMAN
creatine kinase, M-type	CKM	KCRM_HUMAN
creatine kinase, mitochondrial 1A	CKMT1A	KCRU_HUMAN
creatine kinase, mitochondrial 1A	CKMT1A	KCRU_HUMAN
creatine kinase, mitochondrial 1B	CKMT1B	KCRU_HUMAN
creatine kinase, mitochondrial 1B	CKMT1B	KCRU_HUMAN
creatine kinase, mitochondrial 2	CKMT2	KCRS_HUMAN
cripto, FRL-1, cryptic family 1	CFC1	A0A087WWV2_HUMAN
cripto, FRL-1, cryptic family 1	CFC1	A0A087WX98_HUMAN
cripto, FRL-1, cryptic family 1	CFC1	CFC1_HUMAN
cripto, FRL-1, cryptic family 1B	CFC1B	A0A087X0G3_HUMAN
cripto, FRL-1, cryptic family 1B	CFC1B	CFC1B_HUMAN
crooked neck pre-mRNA splicing factor 1	CRNKL1	CRNL1_HUMAN
crooked neck pre-mRNA splicing factor 1	CRNKL1	CRNL1_HUMAN
crooked neck pre-mRNA splicing factor 1	CRNKL1	CRNL1_HUMAN
crooked neck pre-mRNA splicing factor 1	CRNKL1	CRNL1_HUMAN
crooked neck pre-mRNA splicing factor 1	CRNKL1	CRNL1_HUMAN
crooked neck pre-mRNA splicing factor 1	CRNKL1	Q5JY65_HUMAN
crumbs cell polarity complex component 1	CRB1	A8K118_HUMAN
crumbs cell polarity complex component 1	CRB1	B7Z824_HUMAN
crumbs cell polarity complex component 1	CRB1	B7Z826_HUMAN
crumbs cell polarity complex component 1	CRB1	CRUM1_HUMAN
crumbs cell polarity complex component 1	CRB1	CRUM1_HUMAN
crumbs cell polarity complex component 1	CRB1	CRUM1_HUMAN
crumbs cell polarity complex component 1	CRB1	CRUM1_HUMAN
crumbs cell polarity complex component 1	CRB1	CRUM1_HUMAN
crumbs cell polarity complex component 1	CRB1	F5H0L2_HUMAN
crumbs cell polarity complex component 2	CRB2	CRUM2_HUMAN
crumbs cell polarity complex component 2	CRB2	CRUM2_HUMAN
crumbs cell polarity complex component 2	CRB2	CRUM2_HUMAN
crumbs cell polarity complex component 3	CRB3	CRUM3_HUMAN
crumbs cell polarity complex component 3	CRB3	CRUM3_HUMAN
cryptochrome circadian regulator 1	CRY1	CRY1_HUMAN
cryptochrome circadian regulator 2	CRY2	A0A0D2X7Z3_HUMAN
cryptochrome circadian regulator 2	CRY2	CRY2_HUMAN
cryptochrome circadian regulator 2	CRY2	CRY2_HUMAN
crystallin alpha B	CRYAB	A0A024R3B9_HUMAN
crystallin alpha B	CRYAB	CRYAB_HUMAN
crystallin beta A1	CRYBA1	CRBA1_HUMAN
crystallin beta A1	CRYBA1	CRBA1_HUMAN
crystallin beta A2	CRYBA2	CRBA2_HUMAN
crystallin beta A4	CRYBA4	CRBA4_HUMAN
crystallin beta B1	CRYBB1	CRBB1_HUMAN
crystallin beta B2	CRYBB2	CRBB2_HUMAN
crystallin beta B3	CRYBB3	CRBB3_HUMAN
crystallin beta-gamma domain containing 1	CRYBG1	CRBG1_HUMAN
crystallin beta-gamma domain containing 1	CRYBG1	CRBG1_HUMAN
crystallin beta-gamma domain containing 2	CRYBG2	CRBG2_HUMAN
crystallin beta-gamma domain containing 2	CRYBG2	Q9NWG5_HUMAN
crystallin beta-gamma domain containing 3	CRYBG3	CRBG3_HUMAN
crystallin beta-gamma domain containing 3	CRYBG3	CRBG3_HUMAN
crystallin beta-gamma domain containing 3	CRYBG3	CRBG3_HUMAN
crystallin gamma A	CRYGA	CRGA_HUMAN
crystallin gamma B	CRYGB	CRGB_HUMAN
crystallin gamma C	CRYGC	CRGC_HUMAN
crystallin gamma D	CRYGD	CRGD_HUMAN
crystallin gamma N	CRYGN	A0A2R8Y702_HUMAN
crystallin gamma N	CRYGN	CRGN_HUMAN
crystallin gamma N	CRYGN	CRGN_HUMAN
crystallin gamma S	CRYGS	CRYGS_HUMAN
crystallin lambda 1	CRYL1	CRYL1_HUMAN
crystallin lambda 1	CRYL1	CRYL1_HUMAN
crystallin mu	CRYM	CRYM_HUMAN
crystallin zeta	CRYZ	QOR_HUMAN
crystallin zeta	CRYZ	QOR_HUMAN
crystallin zeta	CRYZ	QOR_HUMAN
crystallin zeta like 1	CRYZL1	QORL1_HUMAN
crystallin zeta like 1	CRYZL1	QORL1_HUMAN
cubilin	CUBN	CUBN_HUMAN
cullin 1	CUL1	B3KTW0_HUMAN
cullin 1	CUL1	CUL1_HUMAN
cullin 2	CUL2	A0A0A0MTN0_HUMAN
cullin 2	CUL2	CUL2_HUMAN
cullin 2	CUL2	CUL2_HUMAN
cullin 3	CUL3	B7Z600_HUMAN
cullin 3	CUL3	CUL3_HUMAN
cullin 3	CUL3	CUL3_HUMAN
cullin 3	CUL3	CUL3_HUMAN
cullin 4A	CUL4A	A0A0A0MR50_HUMAN
cullin 4A	CUL4A	CUL4A_HUMAN
cullin 4A	CUL4A	CUL4A_HUMAN
cullin 4B	CUL4B	CUL4B_HUMAN
cullin 4B	CUL4B	CUL4B_HUMAN
cullin 4B	CUL4B	CUL4B_HUMAN
cullin 4B	CUL4B	K4DI93_HUMAN
cullin 5	CUL5	CUL5_HUMAN
cullin 7	CUL7	CUL7_HUMAN
cullin 7	CUL7	CUL7_HUMAN
cullin 9	CUL9	CUL9_HUMAN
cullin 9	CUL9	CUL9_HUMAN
cullin associated and neddylation dissociated 1	CAND1	CAND1_HUMAN
cullin associated and neddylation dissociated 1	CAND1	CAND1_HUMAN
cullin associated and neddylation dissociated 1	CAND1	CAND1_HUMAN
cullin associated and neddylation dissociated 2 (putative)	CAND2	CAND2_HUMAN
cullin associated and neddylation dissociated 2 (putative)	CAND2	CAND2_HUMAN
cut like homeobox 1	CUX1	CASP_HUMAN
cut like homeobox 1	CUX1	CASP_HUMAN
cut like homeobox 1	CUX1	CASP_HUMAN
cut like homeobox 1	CUX1	CASP_HUMAN
cut like homeobox 1	CUX1	CUX1_HUMAN
cut like homeobox 1	CUX1	CUX1_HUMAN
cut like homeobox 1	CUX1	CUX1_HUMAN
cut like homeobox 1	CUX1	CUX1_HUMAN
cut like homeobox 1	CUX1	CUX1_HUMAN
cut like homeobox 1	CUX1	CUX1_HUMAN
cut like homeobox 1	CUX1	CUX1_HUMAN
cut like homeobox 1	CUX1	Q3LIA3_HUMAN
cut like homeobox 2	CUX2	CUX2_HUMAN
cutA divalent cation tolerance homolog	CUTA	CUTA_HUMAN
cutA divalent cation tolerance homolog	CUTA	CUTA_HUMAN
cutA divalent cation tolerance homolog	CUTA	CUTA_HUMAN
cutaneous T cell lymphoma-associated antigen 1	CTAGE1	CTGE2_HUMAN
cyclase associated actin cytoskeleton regulatory protein 1	CAP1	CAP1_HUMAN
cyclase associated actin cytoskeleton regulatory protein 1	CAP1	CAP1_HUMAN
cyclase associated actin cytoskeleton regulatory protein 1	CAP1	D3DPU2_HUMAN
cyclase associated actin cytoskeleton regulatory protein 2	CAP2	CAP2_HUMAN
cyclase associated actin cytoskeleton regulatory protein 2	CAP2	CAP2_HUMAN
cyclase associated actin cytoskeleton regulatory protein 2	CAP2	CAP2_HUMAN
cyclase associated actin cytoskeleton regulatory protein 2	CAP2	Q5JPJ8_HUMAN
cyclic GMP-AMP synthase	CGAS	CGAS_HUMAN
cyclic GMP-AMP synthase	CGAS	CGAS_HUMAN
cyclic nucleotide binding domain containing 1	CNBD1	CNBD1_HUMAN
cyclic nucleotide binding domain containing 2	CNBD2	CNBD2_HUMAN
cyclic nucleotide binding domain containing 2	CNBD2	CNBD2_HUMAN
cyclic nucleotide binding domain containing 2	CNBD2	CNBD2_HUMAN
cyclic nucleotide binding domain containing 2	CNBD2	Q4G141_HUMAN
cyclic nucleotide gated channel subunit alpha 1	CNGA1	CNGA1_HUMAN
cyclic nucleotide gated channel subunit alpha 1	CNGA1	CNGA1_HUMAN
cyclic nucleotide gated channel subunit alpha 2	CNGA2	B3KXY3_HUMAN
cyclic nucleotide gated channel subunit alpha 2	CNGA2	CNGA2_HUMAN
cyclic nucleotide gated channel subunit alpha 3	CNGA3	CNGA3_HUMAN
cyclic nucleotide gated channel subunit alpha 3	CNGA3	CNGA3_HUMAN
cyclic nucleotide gated channel subunit alpha 3	CNGA3	CNGA3_HUMAN
cyclic nucleotide gated channel subunit alpha 4	CNGA4	CNGA4_HUMAN
cyclic nucleotide gated channel subunit alpha 4	CNGA4	CNGA4_HUMAN
cyclic nucleotide gated channel subunit beta 1	CNGB1	CNGB1_HUMAN
cyclic nucleotide gated channel subunit beta 1	CNGB1	CNGB1_HUMAN
cyclic nucleotide gated channel subunit beta 1	CNGB1	CNGB1_HUMAN
cyclic nucleotide gated channel subunit beta 1	CNGB1	CNGB1_HUMAN
cyclic nucleotide gated channel subunit beta 3	CNGB3	CNGB3_HUMAN
cyclic nucleotide gated channel subunit beta 3	CNGB3	CNGB3_HUMAN
cyclin A1	CCNA1	A0A140VJG0_HUMAN
cyclin A1	CCNA1	CCNA1_HUMAN
cyclin A1	CCNA1	CCNA1_HUMAN
cyclin A1	CCNA1	CCNA1_HUMAN
cyclin A2	CCNA2	CCNA2_HUMAN
cyclin B1	CCNB1	CCNB1_HUMAN
cyclin B1	CCNB1	CCNB1_HUMAN
cyclin B1 interacting protein 1	CCNB1IP1	A0A384MR52_HUMAN
cyclin B2	CCNB2	CCNB2_HUMAN
cyclin B3	CCNB3	CCNB3_HUMAN
cyclin B3	CCNB3	CCNB3_HUMAN
cyclin B3	CCNB3	CCNB3_HUMAN
cyclin C	CCNC	CCNC_HUMAN
cyclin C	CCNC	CCNC_HUMAN
cyclin D binding myb like transcription factor 1	DMTF1	B3KMJ8_HUMAN
cyclin D binding myb like transcription factor 1	DMTF1	D6W5P0_HUMAN
cyclin D binding myb like transcription factor 1	DMTF1	DMTF1_HUMAN
cyclin D binding myb like transcription factor 1	DMTF1	DMTF1_HUMAN
cyclin D binding myb like transcription factor 1	DMTF1	DMTF1_HUMAN
cyclin D binding myb like transcription factor 1	DMTF1	DMTF1_HUMAN
cyclin D binding myb like transcription factor 1	DMTF1	DMTF1_HUMAN
cyclin D1	CCND1	CCND1_HUMAN
cyclin D2	CCND2	CCND2_HUMAN
cyclin D2	CCND2	CCND2_HUMAN
cyclin D3	CCND3	B3KP19_HUMAN
cyclin D3	CCND3	CCND3_HUMAN
cyclin D3	CCND3	CCND3_HUMAN
cyclin D3	CCND3	CCND3_HUMAN
cyclin D3	CCND3	CCND3_HUMAN
cyclin D3	CCND3	D6RI00_HUMAN
cyclin D3	CCND3	Q5T8J1_HUMAN
cyclin E1	CCNE1	A0A0G3DHS8_HUMAN
cyclin E1	CCNE1	CCNE1_HUMAN
cyclin E1	CCNE1	CCNE1_HUMAN
cyclin E1	CCNE1	CCNE1_HUMAN
cyclin E1	CCNE1	V5W5X2_HUMAN
cyclin E2	CCNE2	CCNE2_HUMAN
cyclin E2	CCNE2	CCNE2_HUMAN
cyclin F	CCNF	CCNF_HUMAN
cyclin G associated kinase	GAK	B4DS37_HUMAN
cyclin G associated kinase	GAK	GAK_HUMAN
cyclin G associated kinase	GAK	GAK_HUMAN
cyclin G1	CCNG1	CCNG1_HUMAN
cyclin G1	CCNG1	CCNG1_HUMAN
cyclin G2	CCNG2	CCNG2_HUMAN
cyclin G2	CCNG2	CCNG2_HUMAN
cyclin H	CCNH	CCNH_HUMAN
cyclin I	CCNI	CCNI_HUMAN
cyclin I	CCNI	CCNI_HUMAN
cyclin I family member 2	CCNI2	CCNI2_HUMAN
cyclin I family member 2	CCNI2	CCNI2_HUMAN
cyclin I family member 2	CCNI2	CCNI2_HUMAN
cyclin J	CCNJ	CCNJ_HUMAN
cyclin J	CCNJ	CCNJ_HUMAN
cyclin J	CCNJ	CCNJ_HUMAN
cyclin J like	CCNJL	B4DZA8_HUMAN
cyclin J like	CCNJL	CCNJL_HUMAN
cyclin J like	CCNJL	CCNJL_HUMAN
cyclin K	CCNK	CCNK_HUMAN
cyclin K	CCNK	CCNK_HUMAN
cyclin K	CCNK	CCNK_HUMAN
cyclin K	CCNK	CCNK_HUMAN
cyclin L1	CCNL1	CCNL1_HUMAN
cyclin L1	CCNL1	CCNL1_HUMAN
cyclin L1	CCNL1	CCNL1_HUMAN
cyclin L1	CCNL1	CCNL1_HUMAN
cyclin L2	CCNL2	CCNL2_HUMAN
cyclin L2	CCNL2	CCNL2_HUMAN
cyclin L2	CCNL2	CCNL2_HUMAN
cyclin L2	CCNL2	CCNL2_HUMAN
cyclin L2	CCNL2	CCNL2_HUMAN
cyclin N-terminal domain containing 1	CNTD1	B4DXR6_HUMAN
cyclin N-terminal domain containing 1	CNTD1	CNTD1_HUMAN
cyclin N-terminal domain containing 1	CNTD1	CNTD1_HUMAN
cyclin O	CCNO	CCNO_HUMAN
cyclin O	CCNO	CCNO_HUMAN
cyclin P	CCNP	CCNP_HUMAN
cyclin P	CCNP	CCNP_HUMAN
cyclin Pas1/PHO80 domain containing 1	CNPPD1	A0A024R432_HUMAN
cyclin Pas1/PHO80 domain containing 1	CNPPD1	CNPD1_HUMAN
cyclin Q	CCNQ	CCNQ_HUMAN
cyclin Q	CCNQ	CCNQ_HUMAN
cyclin T1	CCNT1	A8K4M5_HUMAN
cyclin T1	CCNT1	CCNT1_HUMAN
cyclin T1	CCNT1	CCNT1_HUMAN
cyclin T2	CCNT2	B4DH21_HUMAN
cyclin T2	CCNT2	CCNT2_HUMAN
cyclin T2	CCNT2	CCNT2_HUMAN
cyclin Y	CCNY	B7Z8E4_HUMAN
cyclin Y	CCNY	CCNY_HUMAN
cyclin Y	CCNY	CCNY_HUMAN
cyclin Y	CCNY	CCNY_HUMAN
cyclin Y like 1	CCNYL1	CCYL1_HUMAN
cyclin Y like 1	CCNYL1	CCYL1_HUMAN
cyclin Y like 1	CCNYL1	CCYL1_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 1	CNNM1	B4DKF7_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 1	CNNM1	B7Z5S3_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 1	CNNM1	CNNM1_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 1	CNNM1	CNNM1_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 2	CNNM2	CNNM2_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 2	CNNM2	CNNM2_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 2	CNNM2	CNNM2_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 3	CNNM3	CNNM3_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 3	CNNM3	CNNM3_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 3	CNNM3	CNNM3_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 4	CNNM4	CNNM4_HUMAN
cyclin and CBS domain divalent metal cation transport mediator 4	CNNM4	CNNM4_HUMAN
cyclin dependent kinase 1	CDK1	A0A024QZJ8_HUMAN
cyclin dependent kinase 1	CDK1	B7Z3D6_HUMAN
cyclin dependent kinase 1	CDK1	CDK1_HUMAN
cyclin dependent kinase 1	CDK1	CDK1_HUMAN
cyclin dependent kinase 1	CDK1	I6L9I5_HUMAN
cyclin dependent kinase 10	CDK10	B7Z537_HUMAN
cyclin dependent kinase 10	CDK10	CDK10_HUMAN
cyclin dependent kinase 10	CDK10	CDK10_HUMAN
cyclin dependent kinase 10	CDK10	CDK10_HUMAN
cyclin dependent kinase 10	CDK10	CDK10_HUMAN
cyclin dependent kinase 10	CDK10	CDK10_HUMAN
cyclin dependent kinase 10	CDK10	CDK10_HUMAN
cyclin dependent kinase 10	CDK10	CDK10_HUMAN
cyclin dependent kinase 11A	CDK11A	CD11A_HUMAN
cyclin dependent kinase 11A	CDK11A	CD11A_HUMAN
cyclin dependent kinase 11A	CDK11A	CD11A_HUMAN
cyclin dependent kinase 11A	CDK11A	CD11A_HUMAN
cyclin dependent kinase 11A	CDK11A	CD11A_HUMAN
cyclin dependent kinase 11A	CDK11A	CD11A_HUMAN
cyclin dependent kinase 11A	CDK11A	CD11A_HUMAN
cyclin dependent kinase 11A	CDK11A	CD11A_HUMAN
cyclin dependent kinase 11A	CDK11A	Q5QPR3_HUMAN
cyclin dependent kinase 11B	CDK11B	B4DII1_HUMAN
cyclin dependent kinase 11B	CDK11B	CD11B_HUMAN
cyclin dependent kinase 11B	CDK11B	CD11B_HUMAN
cyclin dependent kinase 11B	CDK11B	CD11B_HUMAN
cyclin dependent kinase 11B	CDK11B	CD11B_HUMAN
cyclin dependent kinase 11B	CDK11B	CD11B_HUMAN
cyclin dependent kinase 11B	CDK11B	CD11B_HUMAN
cyclin dependent kinase 11B	CDK11B	CD11B_HUMAN
cyclin dependent kinase 11B	CDK11B	CD11B_HUMAN
cyclin dependent kinase 11B	CDK11B	CD11B_HUMAN
cyclin dependent kinase 11B	CDK11B	CD11B_HUMAN
cyclin dependent kinase 12	CDK12	CDK12_HUMAN
cyclin dependent kinase 12	CDK12	CDK12_HUMAN
cyclin dependent kinase 12	CDK12	CDK12_HUMAN
cyclin dependent kinase 13	CDK13	A0A024RA66_HUMAN
cyclin dependent kinase 13	CDK13	CDK13_HUMAN
